cve_id,published
CVE-1999-0069,1998-04-29T04:00:00.000
CVE-1999-0212,1998-04-29T04:00:00.000
CVE-1999-1106,1998-04-29T04:00:00.000
CVE-1999-0108,1998-05-01T04:00:00.000
CVE-1999-0796,1998-05-01T04:00:00.000
CVE-1999-0126,1998-05-03T04:00:00.000
CVE-1999-1027,1998-05-07T04:00:00.000
CVE-1999-1044,1998-05-07T04:00:00.000
CVE-1999-1361,1998-05-09T04:00:00.000
CVE-1999-0816,1998-05-10T04:00:00.000
CVE-1999-0919,1998-05-10T04:00:00.000
CVE-1999-1204,1998-05-11T04:00:00.000
CVE-1999-1389,1998-05-11T04:00:00.000
CVE-1999-0055,1998-05-14T04:00:00.000
CVE-1999-1179,1998-05-15T04:00:00.000
CVE-1999-1096,1998-05-16T04:00:00.000
CVE-1999-0303,1998-05-21T04:00:00.000
CVE-1999-1039,1998-05-27T04:00:00.000
CVE-1999-1492,1998-05-27T04:00:00.000
CVE-1999-1490,1998-05-28T04:00:00.000
CVE-1999-0278,1998-06-01T04:00:00.000
CVE-1999-0329,1998-06-01T04:00:00.000
CVE-1999-0501,1998-06-01T04:00:00.000
CVE-1999-0508,1998-06-01T04:00:00.000
CVE-1999-1443,1998-06-02T04:00:00.000
CVE-1999-1151,1998-06-03T04:00:00.000
CVE-1999-1152,1998-06-03T04:00:00.000
CVE-1999-0008,1998-06-08T04:00:00.000
CVE-1999-0054,1998-06-10T04:00:00.000
CVE-1999-1178,1998-06-10T04:00:00.000
CVE-1999-1271,1998-06-11T04:00:00.000
CVE-1999-1480,1998-06-11T04:00:00.000
CVE-1999-1555,1998-06-11T04:00:00.000
CVE-1999-1085,1998-06-12T04:00:00.000
CVE-1999-0783,1998-06-16T04:00:00.000
CVE-1999-1442,1998-06-22T04:00:00.000
CVE-1999-1479,1998-06-24T04:00:00.000
CVE-1999-0007,1998-06-26T04:00:00.000
CVE-1999-1036,1998-06-26T04:00:00.000
CVE-1999-1037,1998-06-26T04:00:00.000
CVE-1999-1038,1998-06-26T04:00:00.000
CVE-1999-0797,1998-06-29T04:00:00.000
CVE-1999-1556,1998-06-29T04:00:00.000
CVE-1999-1150,1998-06-30T04:00:00.000
CVE-1999-1441,1998-06-30T04:00:00.000
CVE-1999-0313,1998-07-01T04:00:00.000
CVE-1999-0314,1998-07-01T04:00:00.000
